name,slug,category,subcategory,address,phone,is_premium,email,website,facebook,instagram,twitter,description,images,opening_hours
The Kiwi Cafe,the-kiwi-cafe,Eat and Drink,Cafes,"5 Glasby Square, Retford DN22 6EP",01777811335,FALSE,,,,,,,,
Honey & Fig,honey-fig,Eat and Drink,Cafes,"41 Carolgate, Retford DN22 6BZ",01777948610,FALSE,,,,,,,,
Mamma Giusi's,mamma-giusis,Eat and Drink,Cafes,"18 Carolgate, Retford DN22 6BU",07967447438,FALSE,,,,,,,,
Town Best Cafe,town-best-cafe,Eat and Drink,Cafes,"3 Market Pl, Retford DN22 6DR",01777869944,FALSE,,,,,,,,
Cafe De Bella,cafe-de-bella,Eat and Drink,Cafes,"4 Spa Rd, Retford DN22 6EA",01777949871,FALSE,,,,,,,,
Oliver’s Cafe,olivers-cafe,Eat and Drink,Cafes,"22 The Sq, Retford DN22 6DQ",01777717740,FALSE,,,,,,,,
The Vault Retford,the-vault-retford,Eat and Drink,Restaurants,"27 The Sq, Retford DN22 6DQ",,FALSE,,,,,,,,
Taste,taste,Eat and Drink,Coffee Shops,"2 New St, Retford DN22 6EG",01777710425,FALSE,,,,,,,,
Harrys Coffee House,harrys-coffee-house,Eat and Drink,Cafes,"6 Chapelgate, Retford DN22 6PJ",01777706005,FALSE,,,,,,,,
The Glass Lounge Retford,the-glass-lounge-retford,Eat and Drink,Cafes,"3, Jubilee Courtyard, 18 The Sq, Retford DN22 6BN",01777717595,FALSE,,,,,,,,
Playwell Corner,playwell-corner,Eat and Drink,Cafes,"44 Chapelgate, Retford DN22 6PJ",07779153666,FALSE,,,,,,,,
Leaky Teacup,leaky-teacup,Eat and Drink,Cafes,"25 Bridgegate, Retford DN22 7UX",07884956868,FALSE,,,,,,,,
Baytree Bistro & Bar,baytree-bistro-bar,Eat and Drink,Bistros,"86 Carolgate, Retford DN22 6AS",01777710488,FALSE,,,,,,,,
Kings Coffee Shop,kings-coffee-shop,Eat and Drink,Cafes,"2 Beardsall's Row, Retford DN22 6JX",07940405898,FALSE,,,,,,,,
Little Leaf Cafe,little-leaf-cafe,Eat and Drink,Cafes,"3 Grove St, Retford DN22 6JP",07369229078,FALSE,,,,,,,,
Rondo Lounge,rondo-lounge,Eat and Drink,Cafes,"20 The Sq, Retford DN22 6DQ",01777933138,FALSE,,,,,,,,
10 Green Bottles,10-green-bottles,Eat and Drink,Cafes,"15 The Sq, Retford DN22 6DQ",07729655639,FALSE,,,,,,,,
Edi'z Kitchen Retford,ediz-kitchen-retford,Eat and Drink,Restaurants,"32 Carolgate, Retford DN22 6DY",01777820500,FALSE,,,,,,,,
Retford Tabletop Cafe,retford-tabletop-cafe,Eat and Drink,Cafes,"25 Bridgegate, Retford DN22 7UX",01777820500,FALSE,,,,,,,,
The Apron Cafe,the-apron-cafe,Eat and Drink,Cafes,"Gamston Airport, Ollerton Rd, Retford DN22 0QL",01777801144,FALSE,,,,,,,,
The Diner At Number Four,the-diner-at-number-four,Eat and Drink,Restaurants,"4 Churchgate, Retford DN22 6PQ",01777710001,FALSE,,,,,,,,
Orangery,orangery,Eat and Drink,Restaurants,"24 North Rd, Retford DN22 7XG",01777706333,FALSE,,,,,,,,
Country Kitchen Cafe,country-kitchen-cafe,Eat and Drink,Cafes,"Ferryboat Inn, Church Laneham, Retford DN22 0NQ",01777228350,FALSE,,,,,,,,
The Leys Bakery & Café,the-leys-bakery-caf,Eat and Drink,Cafes,"Sturton Rd, South Wheatley, Retford DN22 9DH",,FALSE,,,,,,,,
Take A Break,take-a-break,Eat and Drink,Cafes,"7 Aurillac Way, Retford DN22 7PX",01777706060,FALSE,,,,,,,,
Deli & Dine,deli-dine,Eat and Drink,Cafes,"80 Carolgate, Retford DN22 6EF",01777710700,FALSE,,,,,,,,
Costa Coffee,costa-coffee,Eat and Drink,Coffee Shops,"18a Carolgate, Retford DN22 6BU",03330035883,FALSE,,,,,,,,
Mollie Rocker Bakery,mollie-rocker-bakery,Eat and Drink,Bakerys,Retford DN22 6BP,07359033373,FALSE,,,,,,,,
Nicole Olivia Cake Designs,nicole-olivia-cake-designs,Eat and Drink,Bakerys,"8, Bridgegate Centre, Retford DN22 6AJ",01777471148,FALSE,,,,,,,,
Fagan Scaffolding,fagan-scaffolding,Shops and Businesses,Trades and Services,Retford,07539453269,FALSE,,,,,,,,
TJFabrications,tjfabrications,Shops and Businesses,Trades and Services,Retford,07950 219108,FALSE,,,,,,,,
JRB Auto Body Repairs,jrb-auto-body-repairs,Shops and Businesses,Automotive and Petrol Stations,"Drayton Rd, Retford DN22 0JZ",07939050614,FALSE,,,,,,,,
Sundown Adventureland,sundown-adventureland,Things to Do,Theme Parks,"Treswell Rd, Rampton, Retford DN22 0HX",01777248274,FALSE,,,,,,,,
Squiggles Playden Retford,squiggles-playden-retford,Things to Do,Soft Plays,"Unit C, Randall Business Centre, Randall Park Way, Retford DN22 7WF",01777801170,FALSE,,,,,,,,
The West Retford Hotel,the-west-retford-hotel,Accommodation,Hotels,"24 North Rd, Retford DN22 7XG",01777706333,FALSE,,,,,,,,
K1 Barbers,k1-barbers,Shops and Businesses,Hairdressers and Barbers,"15 Exchange St, Retford DN22 6BL",07927297128,FALSE,,,,,,,,
Fred's Cantonese Restaurant,freds-cantonese-restaurant,Eat and Drink,Restaurants,"35 Grove St, Retford DN22 6JP",01777700387,TRUE,,,https://www.facebook.com/profile.php?id=100063601209754,,,"""Fred’s Chinese and Cantonese is an Asian Food Takeaway and Restaurant in Retford, Nottinghamshire. Fred’s is open 7 Days a week and serves a mixture of Chinese and Cantonese dishes as well as special set dinners. Opened in 1972, Fred’s Chinese Retford has served the people of Retford for over 50 years.

### Fred’s Chinese Retford Menu

##### Soup & Appetisers        

Chicken & Sweet Corn Soup        £5.50
Crab Meat & Sweet Corn Soup        £6.30
Peking Sour & Chilli Soup        £5.50
Chicken & Mushroom Soup        £5.70
Won Ton Soup        £6.30
Prawn Cocktail        £6.40
Sesame Prawn Toast        £5.50
Crispy Seaweed        £4.80
Crispy Wan Tun in Sweet & Sour Sauce        £5.30
Crispy Pancake Roll        £2.90
Satay Chicken on Skewers        £6.30
Cheese Chicken Roll (2)        £6.80
Garlic King Prawn Rolls (2)        £7.00
Vegetarian Pancake Rolls (2)        £3.70
BBQ Spare Ribs        £8.60
King Do Pork Ribs        £8.60
Salted Chilli Pepper Ribs        £8.60
Crispy Aromatic Duck (1/2)        £18.10
Minced Pork for Two        £12.40
Minched Chicken for Two        £12.40
Minced Seafood        £14.60
Prawn Crackers        £2.80
Mixed Platter A (Spring Rolls, Prawn Toast, Crispy Seaweed, Crispy Won Ton, Spare Ribs)        £6.30/Head (Min 2)
Mixed Platter B (Garlic King Prawn Rolls, Prawn Toast, Crispy Seaweed, Salt & Chilli Chicken, Spare Ribs)        £8.10/Head (Min 2)

##### Seafood       

Fish Fried in Orange Sauce        £7.30
Fish Fried in Garlic & Tomato Sauce        £7.30
Fried King Prawn with Ginger & Spring Onion        £7.50
Fried King Prawn with Cashew Nuts        £7.50
Fried King Prawn with Broccoli        £7.50
Fried King Prawn with Hot Garlic & Tomato Sauce        £7.50
Fried King Prawn with Hot Garlic & Black Bean Sauce        £7.50
Fried King Prawn with Hot Garlic & Yellow Bean Sauce        £7.50
Fried King Prawn with Straw Mushroom        £7.50
Fried King Prawn with Sweet & Sour Sauce        £7.50
Fried Mussels with Hot Garlic & Black Bean Sauce        £8.40
Fried Mussels with Hot Sweet Chilli Sauce        £8.40

##### Beef & Pork       

Beef with Hot Garlic & Black Bean Sauce        £6.80
Beef with Hot Garlic & Yellow Bean Sauce        £6.80
Beef with Broccoli        £6.80
Beef with Ginger & Spring Onion        £6.80
Beef with Tomato        £6.80
Shredded Beef with Hot Garlic & Sweet Peking Sauce        £6.80
Sweet & Sour Pork Cantonese Style        £6.80
Roast Pork with Beansprouts        £6.80

##### Chicken & Duck

Chicken Strip in Sweet & Sour Sauce        £6.80
Chicken Strip in Lemon Sauce        £6.80
Chicken Strip in Orange Sauce        £6.80
Fried Chicken with Hot Garlic & Yellow Bean Sauce        £6.80
Fried Chicken with Cashew Nuts        £6.80
Fried Chicken with Chinese Straw Mushroom        £6.80
Fried Chicken with Hot Garlic & Peking Sauce        £6.80
Fried Chicken in Oyster Sauce        £6.80
Fried Chicken with Hot Gralic & Black Bean Sauce        £6.80
Fried Chicken with Broccoli        £6.80
Fried Chicken with Pineapple & Ginger        £6.80
Sweet & Sour Chicken Hong Kong Style        £7.40
Shredded Chicken with Garlic & Sweet Peking Sauce        £7.40
Roast Duck in BBQ Sauce        £8.10
Roast Duck in Pineapple & Ginger        £8.10
Duck in Orange Sauce        £8.10
Fried Diced Duck with Cashew Nuts        £8.10
Duck in Plum Sauce        £8.10

##### Salted Chilli Dishes        

Salted Chilli Chicken        £7.50
Salted Chilli Beef        £7.50
Salted Chilli King Prawn        £8.50
Salted Chilli Fish Fillet        £7.80
Salted Chilli Squid        £8.50
Salted Chilli Scallop        £17.40
Sweet & Sour        
Sweet & Sour Chicken Balls        £6.40
Sweet & Sour King Prawn Balls        £7.50

##### Curry Dishes       

Chicken Curry        £6.40
Beef Curry        £6.40
King Prawn Curry        £7.50
Special Curry        £6.80
Satay Dishes (Chinese Peanut Sauce)        
Satay Chicken        £6.80
Satay Beef        £6.80
Satay Mushroom        £5.60
Satay King Prawn        £7.50
House Special Satay        £7.50
Kung Po Dishes        
Kung Po Chicken        £6.80
Kung Po Beef        £6.80
Kung Po King Prawn        £7.50
Kung Po Roast Pork        £6.80
House Special Kung Po        £7.50

##### Chop Suey       

Chicken Chop Suey        £6.40
Beef Chop Suey        £6.40
King Prawn Chop Suey        £7.50
Special Chop Suey        £7.50
Egg Foo Young Dishes        
Chicken Foo Young        £6.60
Beef Foo Young        £6.60
King Prawn Foo Young        £7.50
Shrimp Foo Young        £7.30
Special Foo Young        £7.50
Mushroom Foo Young        £5.80
Plain Foo Young        £5.60

##### White Mushroom Dishes        

Chicken with White Mushroom        £6.80
Beef with White Mushroom        £6.80
King Prawn with White Mushroom        £7.50
Roast Pork with White Mushroom        £6.80
Bamboo Shoots & Water Chestnuts        
Chicken with Bamboo Shoots & Water Chestnuts        £6.80
King Prawn with Bamboo Shoots & Water Chestnuts        £7.50
Beef with Bamboo Shoots & Water Chestnuts        £6.80

##### Mixed Vegetable Dishes        

Chicken with Mixed Vegetables        £6.80
King Prawn with Mixed Vegetables        £7.50
Beef with Mixed Vegetables        £6.80

##### Noodles (Chow Mein)        

Chicken Noodles        £6.00
Beef Noodles        £6.00
King Prawn Noodles        £7.40
House Special Noodles        £8.00
Singapore Noodles        £7.20
Chicken Singapore Noodles        £7.20
Roast Pork Singapore Noodles        £7.20
King Prawn Singapore Noodles        £7.40
Plain Noodles        £5.00

##### Rice Dishes        

House Special Fried Rice        £8.00
Young Chow Fried Rice        £6.00
Chicken Fried Rice        £6.00
King Prawn Fried Rice        £7.40
Roast Pork Fried Rice        £6.00
Fried Rice        £3.80
Boiled Rice        £3.30

##### Portions       

Mixed Vegetables        £5.20
Fried White Mushroom        £5.20
Stewed White Mushroom with Onion        £5.20
Bean Sprouts        £5.20
Bamboo Shoot & Water Chestnut        £5.20
Chips        £3.00
Salt & Chilli Chips        £4.50
Curry Sauce        £2.40
Sweet & Sour Sauce        £2.40
Gravy        £2.40

##### Special Cantonese Set Dinners

(A) For Two People        
Chicken & Sweet Corn Soup or Spare Ribs, Fried Chicken with Hot Garlic & Black Bean Sauce, Sweet & Sour Pork Cantonese Style, Fried Beef with Broccoli, Young Chow Special Rice        £32.00

(B) For Two People        
Cicken & Sweet Corn Soup or Pancake Roll, Fillet of Chicken in Sweet & Sour Sauce, Fried Beef with Hot Garlic & Black Bean Sauce, Fried King Prawn with Broccoli, Young Chow Special Rice        £33.00

(C) For Three People        
Garlic King Prawn Rolls, Chicken in Lemon Sauce, Fish in Hot Garlic & Tomato Sauce, King Prawn with Ginger & Spring Onion, Fried Beef with Hot Garlic & Yellow Bean Sauce, Young Chow Special Rice        £43.00

(D) For Three People        
Pancake Roll, Chicken in Orange Sauce, King Prawn with Broccoli, Beef with Hot Garlic & Yellow Bean Sauce, Sliced Fish with Hot Garlic & Tomato Sauce, Young Chow Special Rice        £43.00

(E) For Four People        
Spare Rib or Garlic King Prawn Roll, Sliced Fish in Orange Sauce, Diced Duck with Cashew Nuts, Beef with Hot Garlic & Black Bean Sauce, King Prawn in Hot Garlic & Tomato Sauce, Chicken with Broccoli, Young Chow Special Rice        £63.00

(F) For Four People        
Pancake Roll or Spare Rib, Fish with Hot Garlic & Tomato Sauce, Chicken with Pineapple & Ginger, King Prawn with Hot Garlic & Yellow Bean Sauce, Beef with Broccoli, Sweet & Sour Pork, Young Chow Special Rice        £63.00

##### Special Set Dinners

(G) For Two People        
Two Pancake Rolls, Beef Chop Suey, Chicken in Sweet & Sour Sauce, King Prawn with White Mushroom, Young Chow Special Rice        £28.00

(H) For Two People        
Two Spare Ribs, Special Chop Suey, Sweet & Sour Pork Cantonese Style, Beef with White Mushroom, Young Chow Special Rice        £28.00
Fred’s Chinese Retford Allegry Information

Most of Fred’s Dishes contain Celery, Cereals containing Gluten, Crustaceans, Egg, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sesame Seeds, Soya, Sulphur Dioxide, which some people may have a reaction to. Please inform staff at Fred’s before ordering if you suffer from any food allergies. They will do their best to advise you.""",/businesses/eat-and-drink/freds-1.png,"Monday 17:00-23:00
Tuesday 12:00-14:00, 17:00-23:00
Wednesday 12:00-14:00, 17:00-23:00
Thursday 12:00-14:00, 17:00-23:00
Friday 12:00-14:00, 17:00-23:00
Saturday 12:00-14:00, 17:00-23:00
Sunday 17:00-23:00"
British Heart Foundation,british-heart-foundation,Shops and Businesses,Charity Shops,"3 Carolgate, Retford DN22 6BZ",01777719528,FALSE,,,,,,,,
Bassetlaw Hospice Shop,bassetlaw-hospice-shop,Shops and Businesses,Charity Shops,"18 The Sq, Retford DN22 6BN",01777710444,FALSE,,,,,,,,
The ExtraCare Charitable Trust,the-extracare-charitable-trust,Shops and Businesses,Charity Shops,"2 Market Pl, Retford DN22 6DR",01777708231,FALSE,,,,,,,,
Jerry Green Dog Rescue Charity Shop,jerry-green-dog-rescue-charity-shop,Shops and Businesses,Charity Shops,"3 Exchange St, Retford DN22 6BL",01777801209,FALSE,,,,,,,,
Mind,mind,Shops and Businesses,Charity Shops,"2 Spa Ln, Retford DN22 6EA",01777704040,FALSE,,,,,,,,
Cancer Research UK,cancer-research-uk,Shops and Businesses,Charity Shops,"25 Carolgate, Retford DN22 6BZ",01777860904,FALSE,,,,,,,,
Sense,sense,Shops and Businesses,Charity Shops,"10 Carolgate, Retford DN22 6BU",01777801451,FALSE,,,,,,,,
Age UK,age-uk,Shops and Businesses,Charity Shops,"Unit 3 Spa Lane, Retford DN22 6EA",01777869039,FALSE,,,,,,,,
Barnardo's,barnardos,Shops and Businesses,Charity Shops,"Unit 2, 11/15 Carolgate, Retford DN22 6BZ",01777700525,FALSE,,,,,,,,
Save the Children Fund,save-the-children-fund,Shops and Businesses,Charity Shops,"5 Spa Ln, Retford DN22 6EA",01777862988,FALSE,,,,,,,,
Portland House Veterinary Group,portland-house-veterinary-group,Shops and Businesses,Vets and Pet Shops,"53 Churchgate, Retford DN22 6PA",01777703663,FALSE,,,,,,,,
Bradlands Pet Supplies Retford,bradlands-pet-supplies-retford,Shops and Businesses,Vets and Pet Shops,"Unit 12, London Road Business Park, Retford DN22 6HG",01777702540,FALSE,,,,,,,,
Pets At Home Retford,pets-at-home-retford,Shops and Businesses,Vets and Pet Shops,"Unit 6 & 7, Retford DN22 6DS",01777811523,FALSE,,,,,,,,
E Hurton & Son Funeral Directors,e-hurton-son-funeral-directors,Shops and Businesses,Funeral Directors,"73 Grove St, Retford DN22 6LA",01777854664,FALSE,,,,,,,,
G D Hall Ltd Independent Funeral Directors,g-d-hall-ltd-independent-funeral-directors,Shops and Businesses,Funeral Directors,"13 Bridgegate, Retford DN22 6AE",01777701222,FALSE,,,,,,,,
Hancock Funeral Directors Ltd,hancock-funeral-directors-ltd,Shops and Businesses,Funeral Directors,"26A Bridgegate, Riverside Walk, Retford DN22 6AA",01777707503,FALSE,,,,,,,,
Co-Op Funeralcare Retford,coop-funeralcare-retford,Shops and Businesses,Funeral Directors,"Spa Common, Retford DN22 6LQ",01777854578,FALSE,,,,,,,,
William H Brown Estate Agents,william-h-brown-estate-agents,Shops and Businesses,Estate Agents,"10-12 Grove St, Retford DN22 6JR",01777704248,FALSE,,,,,,,,
Newton Fallowell,newton-fallowell,Shops and Businesses,Estate Agents,"7 New St, Retford DN22 6EG",01777713910,FALSE,,,,,,,,
Alexander Jacob Estate Agents & Co,alexander-jacob-estate-agents-co,Shops and Businesses,Estate Agents,"11 Grove St, Retford DN22 6JP",01777566400,FALSE,,,,,,,,
Brown&Co,brownco,Shops and Businesses,Estate Agents,"29-33 Grove St, Retford DN22 6JP",01777709112,FALSE,,,,,,,,
Nicholsons Estate Agents,nicholsons-estate-agents,Shops and Businesses,Estate Agents,"Office 13, The, Retford Enterprise Centre, Randall Way, Retford DN22 7GR",01777808777,FALSE,,,,,,,,
Burgin Atkinson Estate Agents,burgin-atkinson-estate-agents,Shops and Businesses,Estate Agents,"Retford Enterprise Centre, Randall Way, Retford DN22 7GR",01777712611,FALSE,,,,,,,,
Darbys Ltd,darbys-ltd,Shops and Businesses,Financial and Professional Services,"19 The Sq, Retford DN22 6DQ",01777702126,FALSE,,,,,,,,
Jackson Stapleton Accountants,jackson-stapleton-accountants,Shops and Businesses,Financial and Professional Services,"Suite 1A, 34 West St, Retford DN22 6ES",01777800027,FALSE,,,,,,,,
Wright Vigar Ltd,wright-vigar-ltd,Shops and Businesses,Financial and Professional Services,"34 Chancery Ln, West St, Retford DN22 6ES",01777707373,FALSE,,,,,,,,
Kettlewell and Co Chartered Certified Accountants,kettlewell-and-co-chartered-certified-accountants,Shops and Businesses,Financial and Professional Services,"Retford Enterprise Centre, Office 5 REC2, Randall Way, Retford DN22 7GR",01777933933,FALSE,,,,,,,,
Hepworth Griffiths,hepworth-griffiths,Shops and Businesses,Financial and Professional Services,"49 Grove St, Retford DN22 6LA",01777708751,FALSE,,,,,,,,
The Brick & Tile,the-brick-tile,Eat and Drink,Pubs,"81 Moorgate, Retford DN22 6RS",07917401772,FALSE,,,,,,,,
The Brew Shed,the-brew-shed,Eat and Drink,Pubs,"104 Carolgate, Retford DN22 6AS",01777948485,FALSE,,,,,,,,
The Black Boy,the-black-boy,Eat and Drink,Pubs,"14 Moorgate, Retford DN22 6RH",01777709900,FALSE,,,,,,,,
The Ye Olde Sun Inn,the-ye-olde-sun-inn,Eat and Drink,Pubs,"14 Chapelgate, Retford DN22 6PJ",07970157881,FALSE,,,,,,,,
The Gate Inn,the-gate-inn,Eat and Drink,Pubs,"The Gate Inn Retford, All Hallows St, Ordsall, Retford DN22 7TP",07891224405,FALSE,,,,,,,,
Idle Valley Tap,idle-valley-tap,Eat and Drink,Pubs,"Carolgate, Retford DN22 6EF",01777948586,FALSE,,,,,,,,
The Packet Inn,the-packet-inn,Eat and Drink,Pubs,"Packet Inn, Bescoby St, Retford DN22 6LJ",07896668230,FALSE,,,,,,,,
China Kitchen,china-kitchen,Eat and Drink,Takeaways,"16 Churchgate, Retford DN22 6PQ",01777711288,FALSE,,,,,,,,
Chinese Chef,chinese-chef,Eat and Drink,Takeaways,"15 Albert Rd, Retford DN22 6JD",01777706284,FALSE,,,,,,,,
Thai Bowl,thai-bowl,Eat and Drink,Takeaways,"15 Grove St, Retford DN22 6JP",01777703887,FALSE,,,,,,,,
Open Kitchen,open-kitchen,Eat and Drink,Takeaways,"24 London Rd, Retford DN22 6AY",01777710110,FALSE,,,,,,,,
Lucky Days,lucky-days,Eat and Drink,Takeaways,"20 Bridgegate, Retford DN22 6AA",01777709818,FALSE,,,,,,,,
RT Fit,rt-fit,Shops and Businesses,Gyms and Fitness Centres,"W Carr Rd, Ordsall, Retford DN22 7GY",01777717992,FALSE,,,,,,,,
180 Fitness,180-fitness,Shops and Businesses,Gyms and Fitness Centres,"6-8, Behind Sports Direct, Bridgegate Centre, Retford DN22 6AE",01777820658,FALSE,,,,,,,,
Club Energy Retford,club-energy-retford,Shops and Businesses,Gyms and Fitness Centres,"Mallard House, Westfield Rd, Retford DN22 7BT",01777711551,FALSE,,,,,,,,
Snap Fitness Retford,snap-fitness-retford,Shops and Businesses,Gyms and Fitness Centres,"Units 2 and 3, Northern Tower, Retford DN22 6DS",01777802444,FALSE,,,,,,,,
Goodbodys Fitness Centre 24/7,goodbodys-fitness-centre-247,Shops and Businesses,Gyms and Fitness Centres,"17 Albert Rd, Retford DN22 6JD",01777869399,FALSE,,,,,,,,
Retford Leisure Centre,retford-leisure-centre,Shops and Businesses,Gyms and Fitness Centres,"Leisure Centre, Old Hall Dr, Ordsall, Retford DN22 7EA",01777706500,FALSE,,,,,,,,
Paul Lane Private Personal Training,paul-lane-private-personal-training,Shops and Businesses,Gyms and Fitness Centres,"Paul Lane Private Personal Training, 1 Exchange St, Retford DN22 6BL",07852570852,FALSE,,,,,,,,
The Reformer Room,the-reformer-room,Shops and Businesses,Gyms and Fitness Centres,"32 West St, Retford DN22 6ES",,FALSE,,,,,,,,
Jos Taxi Retford,jos-taxi-retford,Shops and Businesses,Taxi Services,"59 Hallcroft Rd, Retford DN22 7LE",07766388644,FALSE,,,,,,,,
Malcolm's Taxis,malcolms-taxis,Shops and Businesses,Taxi Services,"2 Beardsall's Row, Retford DN22 6JX",01777703333,FALSE,,,,,,,,
Vals Cars,vals-cars,Shops and Businesses,Taxi Services,"116 Bigsby Rd, Retford DN22 6SF",01777709098,FALSE,,,,,,,,
G.S Private Hire,gs-private-hire,Shops and Businesses,Taxi Services,"1 Shrewsbury View, Retford DN22 7FG",01777948383,FALSE,,,,,,,,
A2B Retford Taxis,a2b-retford-taxis,Shops and Businesses,Taxi Services,"7 Chestnut Ave, Ordsall, Retford DN22 7RN",07733895141,FALSE,,,,,,,,
The Dominie Cross - JD Wetherspoons,the-dominie-cross-jd-wetherspoons,Eat and Drink,Pubs;Restaurants,"38 Grove St, Retford DN22 6JR",01777861150,FALSE,,,,,,,,